timestamp,Crop_Type,Soil_Type,Soil_Moisture,Irrigation_Need
2024-03-17,Cotton,Clay,57.35,Low
2024-03-18,Cotton,Clay,24.97,Low
2024-03-19,Cotton,Clay,37.82,Low
2024-03-20,Cotton,Clay,12.41,Medium
2024-03-21,Cotton,Clay,21.49,High
2024-03-22,Cotton,Clay,57.1,Low
2024-03-23,Cotton,Clay,61.22,Low
2024-03-24,Cotton,Clay,64.33,Low
2024-03-25,Cotton,Clay,13.88,Medium
2024-03-26,Cotton,Clay,31.04,Low
2024-03-27,Cotton,Clay,52.47,Low
2024-03-28,Cotton,Clay,28.54,Low
2024-03-29,Cotton,Clay,8.07,Medium
2024-03-30,Cotton,Clay,52.3,Low
2024-03-31,Cotton,Clay,52.16,Low
2024-04-01,Cotton,Clay,35.91,Low
2024-04-02,Cotton,Clay,21.11,Low
2024-04-03,Cotton,Clay,43.23,Medium
2024-04-04,Cotton,Clay,57.47,Medium
2024-04-05,Cotton,Clay,29.03,Low
2024-04-06,Cotton,Clay,26.3,Low
2024-04-07,Cotton,Clay,18.41,Medium
2024-04-08,Cotton,Clay,55.79,Medium
2024-04-09,Cotton,Clay,42.65,Low
2024-04-10,Cotton,Clay,36.32,Low
2024-04-11,Cotton,Clay,14.58,Medium
2024-04-12,Cotton,Clay,16.94,High
2024-04-13,Cotton,Clay,55.8,Medium
2024-04-14,Cotton,Clay,8.75,High
2024-04-15,Cotton,Clay,27.46,Low
2024-04-16,Cotton,Clay,64.55,Medium
2024-04-17,Cotton,Clay,42.97,Medium
2024-04-18,Cotton,Clay,16.67,High
2024-04-19,Cotton,Clay,51.83,Medium
2024-04-20,Cotton,Clay,16.46,Medium
2024-04-21,Cotton,Clay,61.08,Low
2024-04-22,Cotton,Clay,29.1,Low
2024-04-23,Cotton,Clay,38.29,Low
2024-04-24,Cotton,Clay,22.01,High
2024-04-25,Cotton,Clay,49.83,Low
2024-04-26,Cotton,Clay,56.53,Low
2024-04-27,Cotton,Clay,48.39,Low
2024-04-28,Cotton,Clay,51.35,Low
2024-04-29,Cotton,Clay,36.94,Medium
2024-04-30,Cotton,Clay,47.93,Low
2024-05-01,Cotton,Clay,50.01,Low
2024-05-02,Cotton,Clay,31.57,Low
2024-05-03,Cotton,Clay,57.52,Low
2024-05-04,Cotton,Clay,29.69,Low
2024-05-05,Cotton,Clay,8.92,Low
2024-05-06,Cotton,Clay,32.62,Low
2024-05-07,Cotton,Clay,49.43,Low
2024-05-08,Cotton,Clay,11.02,Medium
2024-05-09,Cotton,Clay,26.18,Low
2024-05-10,Cotton,Clay,8.75,Low
2024-05-11,Cotton,Clay,47.53,Medium
2024-05-12,Cotton,Clay,10.16,High
2024-05-13,Cotton,Clay,49.12,Low
2024-05-14,Cotton,Clay,34.41,Low
2024-05-15,Cotton,Clay,25.43,Low
2024-05-16,Cotton,Clay,60.54,Low
2024-05-17,Cotton,Clay,61.27,Low
2024-05-18,Cotton,Clay,42.09,Low
2024-05-19,Cotton,Clay,52.38,Low
2024-05-20,Cotton,Clay,36.72,Medium
2024-05-21,Cotton,Clay,61.93,Low
2024-05-22,Cotton,Clay,38.46,Low
2024-05-23,Cotton,Clay,42.39,Medium
2024-05-24,Cotton,Clay,42.05,Low
2024-05-25,Cotton,Clay,26.75,Medium
2024-05-26,Cotton,Clay,29.25,Medium
2024-05-27,Cotton,Clay,22.93,Medium
2024-05-28,Cotton,Clay,34.18,Medium
2024-05-29,Cotton,Clay,44.06,Medium
2024-05-30,Cotton,Clay,31.02,Medium
2024-05-31,Cotton,Clay,42.54,Low
2024-06-01,Cotton,Clay,55.47,Medium
2024-06-02,Cotton,Clay,33.96,Low
2024-06-03,Cotton,Clay,46.97,Low
2024-06-04,Cotton,Clay,34.27,Low
2024-06-05,Cotton,Clay,8.58,Medium
2024-06-06,Cotton,Clay,9.45,Medium
2024-06-07,Cotton,Clay,59.29,Low
2024-06-08,Cotton,Clay,20.39,High
2024-06-09,Cotton,Clay,38.86,Medium
2024-06-10,Cotton,Clay,12.79,High
2024-06-11,Cotton,Clay,52.46,Low
2024-06-12,Cotton,Clay,33.51,Low
2024-06-13,Cotton,Clay,19.67,High
2024-06-14,Cotton,Clay,18.26,Medium
2024-06-15,Cotton,Clay,39.86,Low
2024-06-16,Cotton,Clay,59.41,Low
2024-06-17,Cotton,Clay,34.01,Low
2024-06-18,Cotton,Clay,56.88,Medium
2024-06-19,Cotton,Clay,62.34,Low
2024-06-20,Cotton,Clay,39.08,Medium
2024-06-21,Cotton,Clay,13.02,Medium
2024-06-22,Cotton,Clay,52.82,Low
2024-06-23,Cotton,Clay,13.2,Medium
2024-06-24,Cotton,Clay,27.36,Low
2024-06-25,Cotton,Clay,58.32,Medium
2024-06-26,Cotton,Clay,33.36,Low
2024-06-27,Cotton,Clay,29.2,Low
2024-06-28,Cotton,Clay,18.53,Medium
2024-06-29,Cotton,Clay,38.7,Low
2024-06-30,Cotton,Clay,61.48,Low
2024-07-01,Cotton,Clay,21.24,Medium
2024-07-02,Cotton,Clay,50.82,Medium
2024-07-03,Cotton,Clay,48.98,Medium
2024-07-04,Cotton,Clay,26.24,Low
2024-07-05,Cotton,Clay,59.09,Low
2024-07-06,Cotton,Clay,24.94,Medium
2024-07-07,Cotton,Clay,55.63,Medium
2024-07-08,Cotton,Clay,36.48,Low
2024-07-09,Cotton,Clay,63.35,Low
2024-07-10,Cotton,Clay,48.74,Medium
2024-07-11,Cotton,Clay,26.62,Medium
2024-07-12,Cotton,Clay,30.49,Low
2024-07-13,Cotton,Clay,11.44,High
2024-07-14,Cotton,Clay,52.73,Low
2024-07-15,Cotton,Clay,62.16,Low
2024-07-16,Cotton,Clay,13.24,Medium
2024-07-17,Cotton,Clay,15.3,Medium
2024-07-18,Cotton,Clay,9.15,Low
2024-07-19,Cotton,Clay,21.49,Medium
2024-07-20,Cotton,Clay,25.31,Medium
2024-07-21,Cotton,Clay,27.76,Low
2024-07-22,Cotton,Clay,18.99,Medium
2024-07-23,Cotton,Clay,59.63,Medium
2024-07-24,Cotton,Clay,25.58,Medium
2024-07-25,Cotton,Clay,28.91,Low
2024-07-26,Cotton,Clay,19.04,Medium
2024-07-27,Cotton,Clay,10.31,Low
2024-07-28,Cotton,Clay,29.2,Medium
2024-07-29,Cotton,Clay,53.94,Low
2024-07-30,Cotton,Clay,30.31,Medium
2024-07-31,Cotton,Clay,24.05,Medium
2024-08-01,Cotton,Clay,21.83,Medium
2024-08-02,Cotton,Clay,29.75,Low
2024-08-03,Cotton,Clay,14.45,Medium
2024-08-04,Cotton,Clay,20.49,Low
2024-08-05,Cotton,Clay,59.96,Medium
2024-08-06,Cotton,Clay,28.48,Low
2024-08-07,Cotton,Clay,39.74,Medium
2024-08-08,Cotton,Clay,40.77,Low
2024-08-09,Cotton,Clay,56.52,Medium
2024-08-10,Cotton,Clay,30.2,Low
2024-08-11,Cotton,Clay,19.01,Medium
2024-08-12,Cotton,Clay,26.02,Low
2024-08-13,Cotton,Clay,63.91,Low
2024-08-14,Cotton,Clay,59.33,Medium
2024-08-15,Cotton,Clay,22.56,Medium
2024-08-16,Cotton,Clay,32.83,Low
2024-08-17,Cotton,Clay,64.13,Medium
2024-08-18,Cotton,Clay,38.42,Medium
2024-08-19,Cotton,Clay,33.8,Medium
2024-08-20,Cotton,Clay,60.73,Low
2024-08-21,Cotton,Clay,64.45,Low
2024-08-22,Cotton,Clay,58.2,Low
2024-08-23,Cotton,Clay,11.96,Medium
2024-08-24,Cotton,Clay,10.29,Low
2024-08-25,Cotton,Clay,19.19,Medium
2024-08-26,Cotton,Clay,16.54,Low
2024-08-27,Cotton,Clay,60.04,Low
2024-08-28,Cotton,Clay,36.09,Low
2024-08-29,Cotton,Clay,55.06,Low
2024-08-30,Cotton,Clay,20.43,High
2024-08-31,Cotton,Clay,39.47,Low
2024-09-01,Cotton,Clay,64.82,Medium
2024-09-02,Cotton,Clay,9.92,Medium
2024-09-03,Cotton,Clay,9.23,Medium
2024-09-04,Cotton,Clay,49.14,Low
2024-09-05,Cotton,Clay,14.32,Medium
2024-09-06,Cotton,Clay,30.47,Low
2024-09-07,Cotton,Clay,38.64,Low
2024-09-08,Cotton,Clay,19.83,Medium
2024-09-09,Cotton,Clay,59.48,Medium
2024-09-10,Cotton,Clay,59.62,Medium
2024-09-11,Cotton,Clay,40.22,Low
2024-09-12,Cotton,Clay,55.4,Low
2024-09-13,Cotton,Clay,49.54,Low
2024-09-14,Cotton,Clay,60.01,Low
2024-09-15,Cotton,Clay,28.89,Low
2024-09-16,Cotton,Clay,22.63,Medium
2024-09-17,Cotton,Clay,14.29,Medium
2024-09-18,Cotton,Clay,35.04,Low
2024-09-19,Cotton,Clay,54.43,Low
2024-09-20,Cotton,Clay,25.84,Low
2024-09-21,Cotton,Clay,53.2,Low
2024-09-22,Cotton,Clay,63.3,Low
2024-09-23,Cotton,Clay,50.84,Low
2024-09-24,Cotton,Clay,11.36,Medium
2024-09-25,Cotton,Clay,28.02,Medium
2024-09-26,Cotton,Clay,50.21,Medium
2024-09-27,Cotton,Clay,44.75,Medium
2024-09-28,Cotton,Clay,33.59,Low
2024-09-29,Cotton,Clay,31.88,Medium
2024-09-30,Cotton,Clay,9.8,Low
2024-10-01,Cotton,Clay,11.63,Medium
2024-10-02,Cotton,Clay,14.39,Medium
2024-10-03,Cotton,Clay,39.2,Medium
2024-10-04,Cotton,Clay,49.68,Low
2024-10-05,Cotton,Clay,24.64,Medium
2024-10-06,Cotton,Clay,39.37,Low
2024-10-07,Cotton,Clay,46.95,Medium
2024-10-08,Cotton,Clay,64.29,Low
2024-10-09,Cotton,Clay,35.19,Low
2024-10-10,Cotton,Clay,53.44,Low
2024-10-11,Cotton,Clay,61.73,Low
2024-10-12,Cotton,Clay,44.22,Medium
2024-10-13,Cotton,Clay,34.7,Low
2024-10-14,Cotton,Clay,29.18,Low
2024-10-15,Cotton,Clay,17.07,Medium
2024-10-16,Cotton,Clay,55.32,Low
2024-10-17,Cotton,Clay,35.74,Medium
2024-10-18,Cotton,Clay,35.87,Low
2024-10-19,Cotton,Clay,20.97,Medium
2024-10-20,Cotton,Clay,21.12,Medium
2024-10-21,Cotton,Clay,37.96,Medium
2024-10-22,Cotton,Clay,58.74,Low
2024-10-23,Cotton,Clay,40.61,Low
2024-10-24,Cotton,Clay,56.02,Medium
2024-10-25,Cotton,Clay,15.0,Low
2024-10-26,Cotton,Clay,40.81,Low
2024-10-27,Cotton,Clay,52.43,Low
2024-10-28,Cotton,Clay,60.48,Low
2024-10-29,Cotton,Clay,21.84,Medium
2024-10-30,Cotton,Clay,35.82,Medium
2024-10-31,Cotton,Clay,58.75,Medium
2024-11-01,Cotton,Clay,43.59,Medium
2024-11-02,Cotton,Clay,64.63,Low
2024-11-03,Cotton,Clay,56.57,Low
2024-11-04,Cotton,Clay,55.59,Low
2024-11-05,Cotton,Clay,33.49,Low
2024-11-06,Cotton,Clay,30.26,Medium
2024-11-07,Cotton,Clay,32.88,Low
2024-11-08,Cotton,Clay,47.83,Low
2024-11-09,Cotton,Clay,10.26,Medium
2024-11-10,Cotton,Clay,14.76,Medium
2024-11-11,Cotton,Clay,25.78,Low
2024-11-12,Cotton,Clay,46.93,Low
2024-11-13,Cotton,Clay,60.53,Low
2024-11-14,Cotton,Clay,28.89,Medium
2024-11-15,Cotton,Clay,39.28,Low
2024-11-16,Cotton,Clay,27.74,Low
2024-11-17,Cotton,Clay,46.28,Low
2024-11-18,Cotton,Clay,60.31,Low
2024-11-19,Cotton,Clay,51.38,Low
2024-11-20,Cotton,Clay,14.16,Medium
2024-11-21,Cotton,Clay,59.24,Low
2024-11-22,Cotton,Clay,57.07,Medium
2024-11-23,Cotton,Clay,44.13,Medium
2024-11-24,Cotton,Clay,27.16,Low
2024-11-25,Cotton,Clay,53.39,Medium
2024-11-26,Cotton,Clay,58.73,Medium
2024-11-27,Cotton,Clay,46.41,Low
2024-11-28,Cotton,Clay,62.1,Low
2024-11-29,Cotton,Clay,29.47,Low
2024-11-30,Cotton,Clay,34.22,Medium
2024-12-01,Cotton,Clay,28.47,Low
2024-12-02,Cotton,Clay,19.01,Medium
2024-12-03,Cotton,Clay,58.88,Low
2024-12-04,Cotton,Clay,50.13,Low
2024-12-05,Cotton,Clay,55.13,Medium
2024-12-06,Cotton,Clay,31.56,Low
2024-12-07,Cotton,Clay,40.9,Low
2024-12-08,Cotton,Clay,11.72,Medium
2024-12-09,Cotton,Clay,41.88,Low
2024-12-10,Cotton,Clay,23.89,High
2024-12-11,Cotton,Clay,64.01,Low
2024-12-12,Cotton,Clay,27.53,Low
2024-12-13,Cotton,Clay,44.67,Medium
2024-12-14,Cotton,Clay,62.31,Medium
2024-12-15,Cotton,Clay,44.02,Low
2024-12-16,Cotton,Clay,51.28,Medium
2024-12-17,Cotton,Clay,28.83,Medium
2024-12-18,Cotton,Clay,21.21,Medium
2024-12-19,Cotton,Clay,35.08,Low
2024-12-20,Cotton,Clay,62.94,Low
2024-12-21,Cotton,Clay,31.26,Low
2024-12-22,Cotton,Clay,25.69,Medium
2024-12-23,Cotton,Clay,30.25,Low
2024-12-24,Cotton,Clay,18.24,Medium
2024-12-25,Cotton,Clay,13.19,Medium
2024-12-26,Cotton,Clay,46.11,Low
2024-12-27,Cotton,Clay,14.72,Low
2024-12-28,Cotton,Clay,57.89,Low
2024-12-29,Cotton,Clay,29.55,Low
2024-12-30,Cotton,Clay,47.51,Medium
2024-12-31,Cotton,Clay,50.68,Low
2025-01-01,Cotton,Clay,51.84,Low
2025-01-02,Cotton,Clay,29.34,Low
2025-01-03,Cotton,Clay,8.1,Medium
2025-01-04,Cotton,Clay,14.05,Medium
2025-01-05,Cotton,Clay,38.98,Low
2025-01-06,Cotton,Clay,59.02,Low
2025-01-07,Cotton,Clay,12.64,Low
2025-01-08,Cotton,Clay,44.98,Low
2025-01-09,Cotton,Clay,40.67,Low
2025-01-10,Cotton,Clay,46.99,Medium
2025-01-11,Cotton,Clay,28.95,Low
2025-01-12,Cotton,Clay,30.93,Low
2025-01-13,Cotton,Clay,31.6,Low
2025-01-14,Cotton,Clay,49.47,Medium
2025-01-15,Cotton,Clay,32.91,Low
2025-01-16,Cotton,Clay,14.61,Medium
2025-01-17,Cotton,Clay,24.36,Low
2025-01-18,Cotton,Clay,62.07,Low
2025-01-19,Cotton,Clay,61.97,Low
2025-01-20,Cotton,Clay,59.39,Low
2025-01-21,Cotton,Clay,53.25,Medium
2025-01-22,Cotton,Clay,21.91,Medium
2025-01-23,Cotton,Clay,20.15,Low
2025-01-24,Cotton,Clay,28.77,Low
2025-01-25,Cotton,Clay,8.55,Medium
2025-01-26,Cotton,Clay,47.94,Low
2025-01-27,Cotton,Clay,49.25,Low
2025-01-28,Cotton,Clay,54.59,Low
2025-01-29,Cotton,Clay,53.01,Medium
2025-01-30,Cotton,Clay,18.55,Low
2025-01-31,Cotton,Clay,23.69,Medium
2025-02-01,Cotton,Clay,27.47,Medium
2025-02-02,Cotton,Clay,22.82,Medium
2025-02-03,Cotton,Clay,56.51,Low
2025-02-04,Cotton,Clay,54.1,Low
2025-02-05,Cotton,Clay,10.33,High
2025-02-06,Cotton,Clay,51.48,Low
2025-02-07,Cotton,Clay,47.13,Low
2025-02-08,Cotton,Clay,37.39,Low
2025-02-09,Cotton,Clay,25.12,Medium
2025-02-10,Cotton,Clay,48.62,Low
2025-02-11,Cotton,Clay,16.23,Low
2025-02-12,Cotton,Clay,14.58,Medium
2025-02-13,Cotton,Clay,9.3,Medium
2025-02-14,Cotton,Clay,43.79,Low
2024-01-03,Cotton,Loamy,10.72,Low
2024-01-04,Cotton,Loamy,64.66,Medium
2024-01-05,Cotton,Loamy,8.03,Medium
2024-01-06,Cotton,Loamy,37.94,Low
2024-01-07,Cotton,Loamy,42.07,Low
2024-01-08,Cotton,Loamy,33.72,Medium
2024-01-09,Cotton,Loamy,20.3,Medium
2024-01-10,Cotton,Loamy,31.22,Medium
2024-01-11,Cotton,Loamy,38.49,Low
2024-01-12,Cotton,Loamy,37.33,Low
2024-01-13,Cotton,Loamy,41.99,Medium
2024-01-14,Cotton,Loamy,9.27,Medium
2024-01-15,Cotton,Loamy,40.81,Low
2024-01-16,Cotton,Loamy,28.11,Low
2024-01-17,Cotton,Loamy,31.21,Low
2024-01-18,Cotton,Loamy,49.56,Low
2024-01-19,Cotton,Loamy,61.01,Low
2024-01-20,Cotton,Loamy,52.41,Low
2024-01-21,Cotton,Loamy,10.16,High
2024-01-22,Cotton,Loamy,24.68,Medium
2024-01-23,Cotton,Loamy,58.5,Low
2024-01-24,Cotton,Loamy,45.74,Medium
2024-01-25,Cotton,Loamy,22.62,Low
2024-01-26,Cotton,Loamy,45.13,Low
2024-01-27,Cotton,Loamy,17.07,Medium
2024-01-28,Cotton,Loamy,48.05,Low
2024-01-29,Cotton,Loamy,39.24,Low
2024-01-30,Cotton,Loamy,28.52,Medium
2024-01-31,Cotton,Loamy,51.18,Low
2024-02-01,Cotton,Loamy,11.04,Low
2024-02-02,Cotton,Loamy,40.6,Low
2024-02-03,Cotton,Loamy,62.99,Low
2024-02-04,Cotton,Loamy,53.52,Low
2024-02-05,Cotton,Loamy,24.96,Medium
2024-02-06,Cotton,Loamy,55.55,Medium
2024-02-07,Cotton,Loamy,56.8,Low
2024-02-08,Cotton,Loamy,12.31,Medium
2024-02-09,Cotton,Loamy,47.36,Medium
2024-02-10,Cotton,Loamy,18.67,Low
2024-02-11,Cotton,Loamy,44.87,Low
2024-02-12,Cotton,Loamy,64.59,Medium
2024-02-13,Cotton,Loamy,48.29,Medium
2024-02-14,Cotton,Loamy,37.37,Low
2024-02-15,Cotton,Loamy,38.17,Medium
2024-02-16,Cotton,Loamy,58.12,Medium
2024-02-17,Cotton,Loamy,59.32,Medium
2024-02-18,Cotton,Loamy,46.95,Low
2024-02-19,Cotton,Loamy,47.65,Low
2024-02-20,Cotton,Loamy,50.76,Medium
2024-02-21,Cotton,Loamy,44.47,Low
2024-02-22,Cotton,Loamy,37.05,Low
2024-02-23,Cotton,Loamy,25.03,Low
2024-02-24,Cotton,Loamy,10.74,Low
2024-02-25,Cotton,Loamy,36.12,Low
2024-02-26,Cotton,Loamy,24.97,Low
2024-02-27,Cotton,Loamy,25.91,Low
2024-02-28,Cotton,Loamy,51.46,Medium
2024-02-29,Cotton,Loamy,38.39,Low
2024-03-01,Cotton,Loamy,53.03,Medium
2024-03-02,Cotton,Loamy,20.44,Medium
2024-03-03,Cotton,Loamy,37.89,Low
2024-03-04,Cotton,Loamy,19.01,Medium
2024-03-05,Cotton,Loamy,16.39,Medium
2024-03-06,Cotton,Loamy,17.56,Low
2024-03-07,Cotton,Loamy,37.75,Low
2024-03-08,Cotton,Loamy,54.31,Low
2024-03-09,Cotton,Loamy,63.44,Low
2024-03-10,Cotton,Loamy,11.92,High
2024-03-11,Cotton,Loamy,58.68,Low
2024-03-12,Cotton,Loamy,63.71,Low
2024-03-13,Cotton,Loamy,34.76,Low
2024-03-14,Cotton,Loamy,13.11,High
2024-03-15,Cotton,Loamy,50.58,Low
2024-03-16,Cotton,Loamy,30.71,Medium
2024-03-17,Cotton,Loamy,62.64,Low
2024-03-18,Cotton,Loamy,25.4,Low
2024-03-19,Cotton,Loamy,64.53,Medium
2024-03-20,Cotton,Loamy,49.54,Medium
2024-03-21,Cotton,Loamy,42.55,High
2024-03-22,Cotton,Loamy,27.09,Low
2024-03-23,Cotton,Loamy,29.64,Low
2024-03-24,Cotton,Loamy,23.37,Medium
2024-03-25,Cotton,Loamy,49.74,Low
2024-03-26,Cotton,Loamy,23.96,Medium
2024-03-27,Cotton,Loamy,23.31,Medium
2024-03-28,Cotton,Loamy,24.64,Medium
2024-03-29,Cotton,Loamy,42.19,Low
2024-03-30,Cotton,Loamy,31.15,Medium
2024-03-31,Cotton,Loamy,33.88,Low
2024-04-01,Cotton,Loamy,37.99,Low
2024-04-02,Cotton,Loamy,62.73,Low
2024-04-03,Cotton,Loamy,36.57,Low
2024-04-04,Cotton,Loamy,45.18,Low
2024-04-05,Cotton,Loamy,23.46,Medium
2024-04-06,Cotton,Loamy,26.65,Low
2024-04-07,Cotton,Loamy,34.68,Medium
2024-04-08,Cotton,Loamy,44.14,Low
2024-04-09,Cotton,Loamy,34.09,Low
2024-04-10,Cotton,Loamy,56.62,Low
2024-04-11,Cotton,Loamy,27.54,Low
2024-04-12,Cotton,Loamy,33.72,Low
2024-04-13,Cotton,Loamy,21.82,Medium
2024-04-14,Cotton,Loamy,59.2,Low
2024-04-15,Cotton,Loamy,64.45,Medium
2024-04-16,Cotton,Loamy,61.65,Medium
2024-04-17,Cotton,Loamy,28.96,Low
2024-04-18,Cotton,Loamy,52.57,Medium
2024-04-19,Cotton,Loamy,11.86,Medium
2024-04-20,Cotton,Loamy,23.38,Medium
2024-04-21,Cotton,Loamy,41.36,Low
2024-04-22,Cotton,Loamy,30.1,Low
2024-04-23,Cotton,Loamy,51.51,High
2024-04-24,Cotton,Loamy,47.14,Medium
2024-04-25,Cotton,Loamy,31.39,Low
2024-04-26,Cotton,Loamy,25.47,Low
2024-04-27,Cotton,Loamy,63.53,Low
2024-04-28,Cotton,Loamy,17.14,Medium
2024-04-29,Cotton,Loamy,21.63,Medium
2024-04-30,Cotton,Loamy,25.51,Low
2024-05-01,Cotton,Loamy,16.88,Low
2024-05-02,Cotton,Loamy,17.63,Medium
2024-05-03,Cotton,Loamy,26.24,Low
2024-05-04,Cotton,Loamy,55.36,Low
2024-05-05,Cotton,Loamy,49.74,Medium
2024-05-06,Cotton,Loamy,20.76,Medium
2024-05-07,Cotton,Loamy,40.83,Low
2024-05-08,Cotton,Loamy,30.62,Low
2024-05-09,Cotton,Loamy,38.63,Low
2024-05-10,Cotton,Loamy,18.54,Medium
2024-05-11,Cotton,Loamy,39.11,Low
2024-05-12,Cotton,Loamy,62.9,Medium
2024-05-13,Cotton,Loamy,61.26,Low
2024-05-14,Cotton,Loamy,26.79,Low
2024-05-15,Cotton,Loamy,60.04,Low
2024-05-16,Cotton,Loamy,14.3,Medium
2024-05-17,Cotton,Loamy,30.88,Low
2024-05-18,Cotton,Loamy,13.22,Low
2024-05-19,Cotton,Loamy,39.38,Low
2024-05-20,Cotton,Loamy,48.66,Low
2024-05-21,Cotton,Loamy,9.75,Medium
2024-05-22,Cotton,Loamy,41.91,Low
2024-05-23,Cotton,Loamy,59.65,Low
2024-05-24,Cotton,Loamy,55.69,Low
2024-05-25,Cotton,Loamy,13.42,Medium
2024-05-26,Cotton,Loamy,53.76,Medium
2024-05-27,Cotton,Loamy,61.26,Low
2024-05-28,Cotton,Loamy,13.66,Low
2024-05-29,Cotton,Loamy,51.69,Low
2024-05-30,Cotton,Loamy,40.9,Low
2024-05-31,Cotton,Loamy,27.21,Low
2024-06-01,Cotton,Loamy,17.05,Medium
2024-06-02,Cotton,Loamy,45.06,Medium
2024-06-03,Cotton,Loamy,59.12,Low
2024-06-04,Cotton,Loamy,42.79,Low
2024-06-05,Cotton,Loamy,11.05,Medium
2024-06-06,Cotton,Loamy,28.98,Low
2024-06-07,Cotton,Loamy,60.9,Medium
2024-06-08,Cotton,Loamy,27.17,Medium
2024-06-09,Cotton,Loamy,44.8,Medium
2024-06-10,Cotton,Loamy,37.14,Low
2024-06-11,Cotton,Loamy,42.03,Low
2024-06-12,Cotton,Loamy,50.47,Low
2024-06-13,Cotton,Loamy,27.27,Low
2024-06-14,Cotton,Loamy,28.99,Medium
2024-06-15,Cotton,Loamy,17.36,Low
2024-06-16,Cotton,Loamy,34.83,Low
2024-06-17,Cotton,Loamy,15.12,Medium
2024-06-18,Cotton,Loamy,17.72,Low
2024-06-19,Cotton,Loamy,31.32,Low
2024-06-20,Cotton,Loamy,27.19,Medium
2024-06-21,Cotton,Loamy,55.0,Low
2024-06-22,Cotton,Loamy,36.13,Low
2024-06-23,Cotton,Loamy,32.91,Low
2024-06-24,Cotton,Loamy,58.71,Low
2024-06-25,Cotton,Loamy,9.39,Medium
2024-06-26,Cotton,Loamy,42.68,Medium
2024-06-27,Cotton,Loamy,63.37,Low
2024-06-28,Cotton,Loamy,17.15,Medium
2024-06-29,Cotton,Loamy,56.97,Low
